fonte,motorista,rotulo_evento,comportamento,magnitude_pico_ms2,evento_detectado
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581141701249244,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.894375044263769,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.894375044263769,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.894375044263769,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,3.653731372553642,False
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,3.7068334967416074,False
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,3.7068334967416074,False
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,3.7642850353801576,False
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.281176243217415,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.5051653932594995,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.705136898583253,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.705136898583253,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.705136898583253,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.705136898583253,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.705136898583253,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.755478742446369,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.755478742446369,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.767842760275149,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.767842760275149,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.767842760275149,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.767842760275149,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.885881310820798,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,7.184878314217397,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,agressiva,6.876751110493082,True
